id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
733,Yanomám,Brazil,BRA,wca,Vulnerable,Yanomae,,4000.0,3.3818,-63.8085,,
734,Yanomami (Venezuela),Venezuela (Bolivarian Republic of),VEN,wck,Vulnerable,Guaharibo. Guaica.,,4000.0,2.5918,-64.7314,,
735,Younuo Bunu,China,CHN,buh,Definitely endangered,,,4000.0,25.1463,106.5405,,
736,Zenaga (Mauritania),Mauritania,MRT,zen,Severely endangered,"ًZenaga.As a member of the Berber group, it is currently referred to under the generic term Tamazight, mainly by Tamazight speakers outside the country.",,4000.0,17.3086,-13.0078,,
737,Baghati,India,IND,bfz,Critically endangered,,,3976.0,31.194000000000003,77.0471,,
738,Bharmauri,India,IND,gbk,Definitely endangered,Gaddyali; Gadiali; Gadi; Bharmauri Bhadi; Pahari Bharmauri,,3976.0,32.4912,76.8383,,
739,Uspantek,Guatemala,GTM,usp,Vulnerable,Uspanteco,,3971.0,15.3475,-90.8684,,
740,Khang Quang Lam,Viet Nam,VNM,kjm,Severely endangered,,,3921.0,22.0333,102.6666,,
741,Konni,Ghana,GHA,kma,Vulnerable,"Koma, Komung",,3800.0,10.3311,-1.6973,,
742,Tocho,Sudan,SDN,taz,Severely endangered,Tacho,,3800.0,10.8764,30.1135,,
743,Nupri,Nepal,NPL,kte,Definitely endangered,लार्क्या भोटे; Larkya Tibetan; Nubri; Larkya,,3776.0,28.6384,84.6079,,
744,Ayoreo,Bolivia (Plurinational State of),BOL,ayo,Definitely endangered,Zamuco. Moro.,,3700.0,-18.719,-59.6228,,
745,Moyon,India,IND,nmo,Definitely endangered,"Mayol, Mayon",,3700.0,24.4171,94.37799999999999,,
746,Utsat,China,CHN,huq,Definitely endangered,"Tsat, Huihui",,3700.0,18.2727,109.3871,,
747,Nayi,Ethiopia,ETH,noz,Vulnerable,Na'o,,3656.0,7.2698,36.1724,,
748,Mussau-Emira,Papua New Guinea,PNG,emi,Definitely endangered,"Mussau, Emira",,3651.0,-1.4774,149.6392,,
749,Narim,Sudan,SDN,loh,Definitely endangered,"Larim, Longarim",,3623.0,4.9048,34.2224,,
750,Garífuna (Guatemala),Guatemala,GTM,cab,Vulnerable,"Carib, Black Carib",,3564.0,15.8268,-88.7506,,
751,Nachiring,Nepal,NPL,ncd,Severely endangered,Nachering; Nacering; Nachhering; Nasring; Bangdale,,3553.0,27.4144,86.7521,,
752,Eastern Popoloc,Mexico,MEX,poe,Vulnerable,"ngiwa, ngiba, Popoloca de Coyotepec, Popoloca de San Juan Atzingo, Popoloca de Mezontla",,3544.0,18.3322,-97.3471,,
753,Nding,Sudan,SDN,eli,Critically endangered,Eliri,,3513.0,10.4121,30.6024,,
754,Anung (Myanmar),Myanmar,MMR,nun,Severely endangered,"Anong, Nung",,3500.0,27.2,98.6333,,
755,Camsá,Colombia,COL,kbh,Definitely endangered,"Kamsá, Kamëntsá, Sebundoy, Sibundoy, Coche",,3500.0,0.8788,-76.7724,,
756,Crow,United States of America,USA,cro,Definitely endangered,,,3500.0,45.5963,-107.4613,,
757,Sak (Myanmar),Myanmar,MMR,ckh,Vulnerable,"Thet, Atsa'",,3500.0,21.2333,93.0761,,
758,Shwai,Sudan,SDN,shw,Critically endangered,"Shuway, Cwaya",,3500.0,11.3184,30.4156,,
759,Wano,Indonesia,IDN,wno,Definitely endangered,,,3500.0,-3.5463,137.9058,,
760,Northwestern Ojibwe,Canada,CAN,ojb,Vulnerable,,,3465.0,52.0016,-95.4274,,
761,Bakpinka,Nigeria,NGA,bbs,Critically endangered,,,3416.0,5.3644,8.2397,,
762,Morokodo,Sudan,SDN,mgc,Severely endangered,Ma'di,,3400.0,6.0313,29.7949,,
763,Eloxochitlán Mazatec,Mexico,MEX,maa,Vulnerable,en ngixo,,3384.0,18.1754,-96.8765,,
764,Menik,Senegal,SEN,tnr,Definitely endangered,"Budik, Tenda, Bande",,3375.0,12.7528,-12.2717,,
765,Teribe (Panama),Panama,PAN,tfr,Definitely endangered,Naso,,3305.0,9.4472,-82.5166,,
766,Tima,Sudan,SDN,tms,Severely endangered,,,3305.0,11.7033,29.1934,,
767,Mursi,Ethiopia,ETH,muz,Vulnerable,,,3278.0,5.5831,36.5075,,
768,Pendau,Indonesia,IDN,ums,Vulnerable,"Ndau, Umalasa",,3200.0,0.1922,120.0091,,
769,Ayautla Mazatec,Mexico,MEX,vmy,Vulnerable,"enre naxinanda nguifi, Southeastern Mazatec, Mazateco del sureste",,3192.0,18.019000000000002,-96.7441,,
770,Yucatec,Belize,BLZ,yua,Definitely endangered,,,3155.0,17.0922,-89.1221,,
771,Eastern Tlapanec,Mexico,MEX,tcf,Vulnerable,,,3088.0,17.8135,-98.604,,
772,Juhur (Caucasus),"Azerbaijan, Russian Federation","AZE, RUS",jdt,Definitely endangered,Juhuri; Judeo-Tat; джухури; горско-еврейский,,3016.0,42.0044,48.2409,,
773,Awjila,Libyan Arab Jamahiriya,LBY,auj,Severely endangered,"Aougila, Awjilah, Aujila, Aoudjila, Augila",,3000.0,26.6278,24.5214,,
774,Baleasang,Indonesia,IDN,bls,Definitely endangered,Baleasan,,3000.0,-0.0494,119.685,,
775,Benga,"Gabon, Equatorial Guinea","GAB, GNQ",bng,Definitely endangered,,,3000.0,0.9997,9.8657,,
776,Besoa,Indonesia,IDN,bep,Vulnerable,,,3000.0,-1.7163,120.4211,,
777,Boni,Kenya,KEN,bob,Definitely endangered,"Aweera, Waata, Sanye

",,3000.0,-0.8294,40.8142,,
778,Bonjo,Congo,COG,bok,Severely endangered,,,3000.0,1.7712,17.9598,,
779,Brokshat,India,IND,bkk,Definitely endangered,Brokskat; Brokpa,,3000.0,34.6478,76.4978,,
780,Budukh,Azerbaijan,AZE,bdk,Severely endangered,Budug; будугский,,3000.0,41.1207,48.3233,,
781,East Greenlandic,Greenland (Kingdom of Denmark),GRL,kal,Definitely endangered,Tunumiit oraasiat,,3000.0,65.6061,-37.6858,,
782,Eastern Khanty,Russian Federation,RUS,kca,Definitely endangered,"dialects: Salym Khanty, Surgut Khanty, Vakh-Vas’yugan Khanty",,3000.0,61.2491,74.5092,,
783,Fyem,Nigeria,NGA,pym,Severely endangered,,,3000.0,9.6332,8.8632,,
784,Geta?,India,IND,gaq,Severely endangered,"Gta? Dideyi, Didam",,3000.0,18.2293,82.727,,
785,Gura,Nigeria,NGA,gvm,Severely endangered,Gurmana,,3000.0,10.075,6.8499,,
786,Harsusi,Oman,OMN,hss,Definitely endangered,"harsuusi, harsiyyet
حرسوسي",,3000.0,19.9372,56.2637,,
787,Hozo,Ethiopia,ETH,hoz,Definitely endangered,Begi-Mao,,3000.0,9.3352,34.53,,
788,Jemez,United States of America,USA,tow,Vulnerable,Towa,,3000.0,35.6151,-106.7242,,
789,Kamara,Ghana,GHA,jmr,Definitely endangered,Hanga,,3000.0,9.0858,-2.2576,,
790,Kapingamarangi,Micronesia (Federated States of),FSM,kpg,Severely endangered,,,3000.0,1.0828,154.8081,,
791,Koitabu,Papua New Guinea,PNG,kqi,Vulnerable,Koita,,3000.0,-9.346,147.1179,,
792,Kuk,Cameroon,CMR,kfm,Definitely endangered,,,3000.0,6.4326,10.2365,,
793,Lai,China,CHN,ply,Definitely endangered,Paliu; Bolyu,,3000.0,24.4871,105.21600000000001,,
794,Lishanid Noshan (Israel),Israel,ISR,aij,Severely endangered,"Lishana Didan, Hulani, Galligallokh, Jbeli, Hodhayutha, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",,3000.0,31.7188,34.7772,,
795,Lude,Russian Federation,RUS,lud,Severely endangered,,,3000.0,61.5867,33.6813,,
796,"Mbya Guarani (Argentina, Uruguay)","Argentina, Uruguay","ARG, URY",gun,Severely endangered,"Mbua,  Eastern Guarani Argentina",,3000.0,-29.6116,-57.4804,,
797,"Mohawk (Akwesasne, St. Regis)",United States of America,USA,moh,Definitely endangered,,,3000.0,45.0033,-74.6497,,
798,Nanay,"China, Russian Federation","CHN, RUS",gld,Severely endangered,Nanai,,3000.0,49.3537,136.5243,,
799,Panare,Venezuela (Bolivarian Republic of),VEN,pbh,Vulnerable,Eñepa. E'ñapá.,,3000.0,6.5445,-66.4233,,
800,Pilagá,Argentina,ARG,plg,Vulnerable,,,3000.0,-25.4035,-58.6669,,
801,Pitjantjatjara,Australia,AUS,pjt,Vulnerable,Pitjantjara,,3000.0,-26.0719,129.9517,,
802,Pukur,Guinea,GIN,bcg,Definitely endangered,Baga Binari,,3000.0,10.4013,-14.4799,,
803,Rotuman,Fiji,FJI,rtm,Vulnerable,,,3000.0,-12.5063,177.0776,,
804,Savi,"Pakistan, Afghanistan","PAK, AFG",sdg,Definitely endangered,"Sawi, Sauji, Sau",,3000.0,35.2085,71.845,,
805,Sherdukpen,India,IND,sdp,Vulnerable,,,3000.0,27.1935,92.351,,
806,Shira Yugur,China,CHN,yuy,Severely endangered,Shira Yughur,,3000.0,39.1002,99.2065,,
807,Takahanyilang,India,IND,nik,Critically endangered,Lo'ong,,3000.0,6.85,93.8726,,
808,U,China,CHN,uuu,Definitely endangered,,,3000.0,23.4844,99.8404,,
809,Ulithian,Micronesia (Federated States of),FSM,uli,Severely endangered,,,3000.0,10.0229,139.6801,,
810,Waima'a,Timor-Leste,TLS,wmh,Definitely endangered,,,3000.0,-8.4995,126.3372,,
811,Warlpiri,Australia,AUS,wbp,Vulnerable,"Walbiri, Elpira, Ilpara, Wailbri, Walpiri, Walmama, Ngaliya, Ngardilpa.  Dialects: Related to Warlmanpa.",,3000.0,-20.8177,131.6601,,
812,Yukpa,Venezuela (Bolivarian Republic of),VEN,"yup, jru",Vulnerable,Yuco. Yuko. Motilones (not to be confused with Barí).,,3000.0,9.7956,-72.9382,,
813,Western Montagnais,Canada,CAN,moe,Vulnerable,,,2980.0,48.9635,-68.5729,,
814,Waiwai (Brazil),Brazil,BRA,waw,Vulnerable,"Tunayana (in Suriname), Wai-Wái",,2916.0,-0.7909,-58.2714,,
815,Jersey French,United Kingdom of Great Britain and Northern Ireland,GBR,fra,Severely endangered,jèrriais; Sark French [sercquiais] (dialect),,2874.0,49.2211,-2.1368,,
816,Bahing,Nepal,NPL,bhj,Definitely endangered,बािङ; Rumdali; Bainge Rai; Baing; Baying; Bayung,,2765.0,27.3126,86.5571,,
817,Stoney,Canada,CAN,sto,Vulnerable,,,2765.0,51.161,-114.8533,,
818,Southwestern Tepehuan,Mexico,MEX,tla,Vulnerable,,,2756.0,22.8349,-105.7276,,
819,Northern Mansi,Russian Federation,RUS,mns,Severely endangered,"dialects: Sygva Mansi, Sos’va Mansi, Ob’ Mansi, Upper Loz’va Mansi",,2746.0,62.6539,63.1494,,
820,Bisu,"Myanmar, Thailand","MMR, THA",bzi,Definitely endangered,"Hpyin, Hpyen, Laopin",,2740.0,19.715,99.6789,,
821,Wari,Brazil,BRA,pav,Definitely endangered,"Pacaás Novos, Pakaa Nova",,2721.0,-11.7275,-65.0061,,
822,Pakan,China,CHN,bbh,Definitely endangered,"Bagan, Bugan, Beng'an, Pukan",,2700.0,23.7447,105.2235,,
823,Yami,China,CHN,tao,Vulnerable,Tao,,2700.0,22.0512,121.5403,,
824,Ko,Sudan,SDN,fuj,Critically endangered,,,2683.0,10.6714,30.8386,,
825,Yuracaré,Bolivia (Plurinational State of),BOL,yuz,Definitely endangered,,,2675.0,-16.6888,-65.4345,,
826,Aimol,India,IND,aim,Critically endangered,,,2643.0,24.4971,93.6145,,
827,Kohi,Nepal,NPL,kkt,Vulnerable,Koyu; Kohi; Koyi;,,2641.0,27.3607,86.8661,,
828,Chatino of the western lowlands,Mexico,MEX,ctp,Definitely endangered,cha' jna'a,,2640.0,16.3049,-97.5466,,
829,Bolo,Angola,ANG,blv,Definitely endangered,,,2627.0,-10.5526,14.9633,,
830,Logol,Sudan,SDN,lof,Severely endangered,Lukha,,2600.0,10.8521,30.6463,,
831,Sila,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",slt,Definitely endangered,Sida,,2600.0,22.3094,102.041,,
832,Pisaflores Tepehua,Mexico,MEX,tpp,Vulnerable,,,2578.0,20.6883,-98.0125,,
833,Xerente,Brazil,BRA,xer,Severely endangered,"Acuen, Akwen",,2569.0,-9.3356,-48.2227,,
834,Bribri (Panama),Panama,PAN,bzd,Severely endangered,,,2521.0,9.4813,-82.6174,,
835,Achuar,"Ecuador, Peru","ECU, PER",acu,Definitely endangered,Achual,,2500.0,-2.8991,-77.4316,,
836,Bai,Sudan,SDN,bdj,Definitely endangered,Bari,,2500.0,8.0592,25.5102,,
837,Banka,Mali,MLI,bxw,Definitely endangered,Bankagooma,,2500.0,11.4261,-5.6744,,
838,Culina (Peru),Peru,PER,cul,Definitely endangered,"Mádija, Madiha",,2500.0,-9.6224,-70.7958,,
839,Gadang,Chad,TCD,gdk,Definitely endangered,,,2500.0,10.3473,17.2485,,
840,Khinalug,Azerbaijan,AZE,kjj,Severely endangered,Khinalugh,,2500.0,41.1579,48.0706,,
841,Laomian (China),China,CHN,lwm,Definitely endangered,,,2500.0,23.7645,100.0195,,
842,Laomian (Myanmar),Myanmar,MMR,lwm,Definitely endangered,,,2500.0,22.6833,99.25,,
843,Lhokpu,Bhutan,BTN,lhp,Definitely endangered,Lhobikha,,2500.0,26.9514,89.2968,,
844,Martuwangka,Australia,AUS,mpj,Vulnerable,"Mardo, Targudi.  Dialects: Manyjilyjara (Mantjiltjara), Kartujarra (Kartutjara, Kardutjara, Kadaddjara, Martu Wangka, Kardutjarra, Kiadjara, Gardudjara, Gagudjara), Puditara (Budidjara, Putujara), Yulparitja (Yilparitja, Yulbaridja), Wangkajunga (Wan",,2500.0,-24.1975,122.9589,,
845,Mayoruna (Peru),Peru,PER,mcf,Vulnerable,Matsés,,2500.0,-5.5285,-73.4765,,
846,Pingelapese,Micronesia (Federated States of),FSM,pif,Severely endangered,,,2500.0,6.2279,160.7107,,
847,Rapanui,Chile,CHL,rap,Severely endangered,"Easter island, Rapa Nui",,2500.0,-27.108,-109.3579,,
848,Remo,India,IND,bfw,Severely endangered,Bondo,,2500.0,19.1659,82.6391,,
849,Roshorvi,Tajikistan,TJK,sgh,Severely endangered,rośorvi; рошорв,,2500.0,38.1086,72.1719,,
850,Sanglechi,"Tajikistan, Afghanistan","TJK, AFG",sgl,Severely endangered,"""Ishkashimi"", ""Sanglīcī"", ""Санглеч""",,2500.0,36.6585,71.4784,,
851,Semelai,Malaysia,MYS,sza,Severely endangered,Temoq dialect (tmo),,2500.0,3.1761,102.4818,,
852,Urak Lawoi (Malaysia),Malaysia,MYS,urk,Definitely endangered,Urak Lawoi',,2500.0,6.4194,99.7869,,
853,Urak Lawoi (Thailand),Thailand,THA,urk,Definitely endangered,"Chao Thalay, Thai Mai",,2500.0,7.7756,98.3306,,
854,Zirenkel,Chad,TCD,zrn,Definitely endangered,,,2500.0,12.136,18.4735,,
855,Vumbu,Gabon,GAB,vum,Definitely endangered,,,2460.0,-1.8783,10.815999999999999,,
856,Mopán (Guatemala),Guatemala,GTM,mop,Severely endangered,,,2455.0,16.5144,-89.4167,,
857,Cuiba,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",cui,Severely endangered,Cuiba. Cuiva,,2445.0,6.4463,-69.9389,,
858,Raji,Nepal,NPL,rji,Severely endangered,Rajibar,,2413.0,27.9721,82.3135,,
859,Highland Chontal,Mexico,MEX,chd,Severely endangered,"Tsame, Tsome",,2410.0,16.2832,-95.85700000000001,,
860,Yasa,"Cameroon, Equatorial Guinea","CMR, GNQ",yko,Definitely endangered,,,2401.0,2.3284,9.8464,,
861,Bumbita Arapesh,Papua New Guinea,PNG,aon,Vulnerable,Weri,,2353.0,-3.6449,142.8002,,
862,Mang (China),China,CHN,zng,Definitely endangered,,,2300.0,22.8293,103.1039,,
863,Mang (Viet Nam),Viet Nam,VNM,zng,Definitely endangered,,,2300.0,22.35,102.9666,,
864,Tlachichilco Tepehua,Mexico,MEX,tpt,Definitely endangered,,,2234.0,20.6205,-98.1991,,
865,Blackfoot (Canada),Canada,CAN,bla,Definitely endangered,,,2200.0,49.3535,-113.2884,,
866,Jaya,Chad,TCD,jyy,Severely endangered,,,2200.0,12.187000000000001,18.1645,,
867,Karipuna do Amapá,Brazil,BRA,kmv,Vulnerable,"Caripuna, Criolo Karipúna",,2200.0,3.3379,-51.6796,,
868,Kulfa,Chad,TCD,kxj,Definitely endangered,,,2200.0,9.9742,19.1848,,
869,Krahô,Brazil,BRA,xra,Vulnerable,"Craô, Kraô, Timbira, Mehim",,2184.0,-8.4071,-47.2851,,
870,Kristang,Malaysia,MYS,mcm,Severely endangered,"Malacca Portuguese Creole, Papia Kristang",,2150.0,2.1935,102.256,,
871,Yine,Peru,PER,pib,Definitely endangered,Piro,,2150.0,-11.4584,-73.0261,,
872,North Alaskan Inupiaq (Kotzebue Sound),United States of America,USA,esi,Severely endangered,"Inupiatun, Iñupiaq, Inupiatun, Malimiut",,2144.0,66.8972,-162.5855,,
873,North Alaskan Inupiaq (North Slope),United States of America,USA,esi,Severely endangered,"Inupiatun, Iñupiaq",,2144.0,71.2725,-156.7749,,
874,Seward Peninsula Inupiaq (King Island),United States of America,USA,esk,Critically endangered,"Iñupiaq, Inupiatun, Qawiaraq",,2144.0,64.9728,-168.0616,,
875,Seward Peninsula Inupiaq (Little Diomede Island),United States of America,USA,esk,Critically endangered,"Qawiaraq, Iñupiaq, Inupiatun",,2144.0,65.755,-168.9167,,
876,Seward Peninsula Inupiaq (Norton Sound),United States of America,USA,esk,Critically endangered,"Qawiaraq, Iñupiaq, Inupiatun",,2144.0,64.5433,-163.029,,
877,Katukína-Kanamarí,Brazil,BRA,"kav, knm",Vulnerable,"3 groups: Katukina (Tüküná, Pi:Dyapa), Kanamarí (Tüküna  Kanamarí, Canamari),  and Tsohom-Dyapa (Tsunhum-Djapá, Tyonhwak Dyapa)",,2100.0,-5.6159,-68.7304,,
878,Tiwi,Australia,AUS,tiw,Vulnerable,,,2100.0,-11.6091,130.8911,,
879,Zaozou,China,CHN,zal,Vulnerable,"Zauzou, Raoruo",,2100.0,26.1554,99.2944,,
880,Ngäbere (Costa Rica),Costa Rica,CRI,gym,Definitely endangered,Guaymí,,2041.0,8.4723,-82.9907,,
881,Aiton,India,IND,aio,Severely endangered,"Sham Doaniyas, Aitonia",,2000.0,26.6523,94.2901,,
882,Anindilyakwa,Australia,AUS,aoi,Vulnerable,,,2000.0,-13.9987,136.582,,
883,Apurinã,Brazil,BRA,apu,Definitely endangered,,,2000.0,-5.4847,-63.8964,,
884,Arrernte,Australia,AUS,"aer, are",Vulnerable,,,2000.0,-24.1668,132.0996,,
885,Ashkun,Afghanistan,AFG,ask,Definitely endangered,"âSkuNu vîri, Ashkund, Ashkuni, Wamayi, Wamais",,2000.0,34.9973,71.0746,,
886,Ata,Philippines,PHL,atm,Critically endangered,,,2000.0,9.6081,122.9155,,
887,Athpahariya,Nepal,NPL,aph,Definitely endangered,आठपहरिया; Athpre; Arthare; Belhare (dialect),,2000.0,26.951999999999998,87.3399,,
888,Ava-Guaraní,Argentina,ARG,gui,Definitely endangered,"Western Guarani, Chiriguano, Guarani, Eastern Guarani (Bolivia),  Western Guarani or Guarayo (Paraguay),  Ñandeva (Brazil)",,2000.0,-23.1403,-64.3359,,
889,Bayso,Ethiopia,ETH,bsw,Definitely endangered,,,2000.0,6.4081,37.749,,
890,Birhor,India,IND,biy,Critically endangered,,,2000.0,21.7594,85.935,,
891,Boano,Indonesia,IDN,bzl,Vulnerable,Bolano,,2000.0,0.4724,120.9979,,
892,Bori,"China, India","CHN, IND",adi,Definitely endangered,Adi,,2000.0,28.9889,94.4439,,
893,Chepya,Lao People's Democratic Republic,LAO,ycp,Definitely endangered,,,2000.0,21.3833,101.8166,,
894,Chilisso,Pakistan,PAK,clh,Severely endangered,"Chiliss, Galos",,2000.0,35.2136,73.2396,,
895,Culina (Brazil),Brazil,BRA,cul,Vulnerable,"Madiha, Madija, Madiha",,2000.0,-7.1008,-68.7744,,
896,Damana,Colombia,COL,mbp,Definitely endangered,Wiwa. Malayo. Marocasero. Sanká. Sanjá. Arsario. Guamaca.,,2000.0,10.9196,-73.4985,,
897,Duguza,Nigeria,NGA,dza,Definitely endangered,,,2000.0,9.9039,9.1186,,
898,Galibi Marworno,Brazil,BRA,car,Vulnerable,"Galibi do Uaçá, Aruã, Uaçauara, Mum Uaçá",,2000.0,3.4256,-52.0312,,
899,Gats'ama - Ganjule - Harro,Ethiopia,ETH,kcx,Definitely endangered,"Gats'ame and Ganjule are dialects of the one language, including Harro",,2000.0,5.9548,37.5292,,
900,Gebe,Indonesia,IDN,gei,Vulnerable,,,2000.0,-0.1922,129.5397,,
901,Ghadames,Libyan Arab Jamahiriya,LBY,gha,Vulnerable,,,2000.0,30.1166,9.5251,,
902,Griko (Calabria),Italy,ITA,ell,Severely endangered,,,2000.0,37.9961,15.9329,,
903,Huilliche,Chile,CHL,huh,Critically endangered,Beliche. Veliche. Tsesugun.,,2000.0,-40.4803,-73.5424,,
904,Ik,Uganda,UGA,ikx,Severely endangered,Teuso,,2000.0,3.5024,34.1894,,
905,Jangshung,India,IND,"jna, scu, ssk",Definitely endangered,"Jangrami, Zangram, Zhang-Zhung, Jangiam, Thebor, Thebör Skad, Thebarskad, Central Kinnauri",,2000.0,31.7748,78.4753,,
906,Jero,Nepal,NPL,jee,Vulnerable,जेरो; Jerung; Zero; Zerum,,2000.0,27.2241,86.3909,,
907,Kari'ña (French Guyana),French Guiana (France),GUF,"car, ciy",Definitely endangered,"Carib. Kari'ña, , Galibi, Galibi do Oiapoque in Brazil",,2000.0,5.5066,-53.6572,,
908,Kona,Nigeria,NGA,juo,Severely endangered,Jiba,,2000.0,9.0587,11.2829,,
909,Koreguaje,Colombia,COL,coe,Definitely endangered,"coreguaje, khorewahi, caquetá. ko'reguaju, chaocha pai",,2000.0,1.0,-75.0,,
910,Koryak,Russian Federation,RUS,kpy,Severely endangered,,,2000.0,61.8561,168.6621,,
911,Kota,India,IND,kfe,Critically endangered,Kotta; Kowe-Adiwasi; Kother-Tamil,,2000.0,11.4154,76.8576,,
912,Logorik,Sudan,SDN,liu,Critically endangered,Liguri,,2000.0,11.1433,29.8306,,
913,Lule Saami,"Norway, Sweden","NOR, SWE",smj,Severely endangered,,julevsábme,2000.0,67.27199999999999,17.7978,,
914,Luro,India,IND,tef,Critically endangered,"Teressa, Terasa, Taihlong, Powahat",,2000.0,7.915,93.3837,,
915,Mambai,Chad,TCD,mcs,Severely endangered,,,2000.0,9.6007,14.0899,,
916,Milang,India,IND,adi,Definitely endangered,Adi,,2000.0,28.488000000000003,95.2954,,
917,Mocoví,Argentina,ARG,moc,Definitely endangered,Mocobi,,2000.0,-27.6056,-59.7656,,
918,Momuna,Indonesia,IDN,mqf,Vulnerable,Somahai,,2000.0,-5.0,139.0,,
919,Mpi,Thailand,THA,mpz,Definitely endangered,Ko,,2000.0,18.2554,100.2227,,
920,Muda,China,CHN,ymd,Vulnerable,,,2000.0,21.8421,100.6851,,
921,Munji,Afghanistan,AFG,mnj,Severely endangered,"Munjani, Munjhan, Munjiwar",,2000.0,36.0379,70.6723,,
922,Nguon,Viet Nam,VNM,nuo,Vulnerable,,,2000.0,17.5333,105.3833,,
923,Nheengatu / Yeral (Venezuela),Venezuela (Bolivarian Republic of),VEN,yrl,Severely endangered,"Ñengatú, Nheengatu in Brazil, also Língua Geral Amazônica",,2000.0,1.2303,-66.8408,,
924,Nihali,India,IND,nll,Critically endangered,Nihal,,2000.0,20.5402,76.0913,,
925,Nyishangba,Nepal,NPL,nmm,Definitely endangered,"’Nyishangba, Manang, Manangbhot, Manangbolt, Manange, Manangi, Northern Gurung, Nyeshang, Nyishang",,2000.0,28.6423,84.1017,,
926,Ottawa (Walpole Island),"Canada, United States of America","CAN, USA",otw,Severely endangered,"Odawa, Chippewa",,2000.0,42.6068,-82.5195,,
927,Prasun,Afghanistan,AFG,prn,Definitely endangered,"Prasun, Veruni, Parun, Wasi-Veri, Veron, Verou",,2000.0,35.3543,71.26,,
928,Rukai,China,CHN,dru,Vulnerable,,,2000.0,22.791999999999998,120.8104,,
929,Sáliba,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",slc,Severely endangered,Sáliva,,2000.0,5.3097,-69.873,,
930,Sangkong,China,CHN,sgk,Vulnerable,Buxia,,2000.0,21.5158,100.6957,,
931,Sarwa,Chad,TCD,swy,Definitely endangered,Sarua,,2000.0,10.5958,17.0397,,
932,Shoshoni (Idaho),United States of America,USA,shh,Severely endangered,Shoshone,,2000.0,43.0438,-112.4629,,
933,Shoshoni (Nevada),United States of America,USA,shh,Severely endangered,"Shoshone, Gosiute, Goshute",,2000.0,40.0358,-113.9835,,
934,Shoshoni (Wyoming),United States of America,USA,shh,Severely endangered,Shoshone,,2000.0,43.013999999999996,-108.8209,,
935,Tai Phake,India,IND,phk,Severely endangered,,,2000.0,27.5033,95.2185,,
936,Tamazight (Arzew),Algeria,DZA,rif,Critically endangered,,,2000.0,35.5869,-0.4737,,
937,Tanglang,China,CHN,ytl,Vulnerable,,,2000.0,26.0863,99.7119,,
938,Tchitchege,Gabon,GAB,tck,Definitely endangered,,,2000.0,-1.8508,13.612,,
939,Tinan,"China, India","CHN, IND",lbf,Definitely endangered,"Tinani, Tinan Lahuli, Teenan",,2000.0,32.519,77.6733,,
940,Tsafiki,Ecuador,ECU,cof,Definitely endangered,"Colorado (discriminatory name rejected by speakers). Tsa'fiki means ""true word/language"".",,2000.0,-0.25,-79.15,,
941,Ukhwejo,Central African Republic,CAF,ukh,Severely endangered,Benkonjo,,2000.0,3.3626,16.0565,,
942,Urarina,Peru,PER,ura,Vulnerable,Kacha. Simacu. Itucale.,,2000.0,-4.3464,-75.3002,,
943,Ushojo,Pakistan,PAK,ush,Definitely endangered,Ushuji,,2000.0,35.0209,72.89699999999999,,
944,Waigali,Afghanistan,AFG,wbk,Definitely endangered,"kalaSa alâ, Waigeli, Waigalii, Waigala, Zhonjigali, Suki, Wai-Ala, Wai, Kalasha-Ala; Zemiaki (dialect)",,2000.0,35.1895,71.1941,,
945,Waotededo,Ecuador,ECU,auc,Vulnerable,"Waotiriro, Huaotiriro, Waodani, Auca (From Quichua = ""sauvage""; this name is rejected by the speakers)",,2000.0,-1.1864,-76.6296,,
946,Wotapuri-Katarqalai,Afghanistan,AFG,wsv,Definitely endangered,,,2000.0,34.4166,70.3333,,
947,Wutun,China,CHN,wuh,Definitely endangered,,,2000.0,35.791,102.4365,,
948,Candoshi,Peru,PER,cbu,Definitely endangered,"Candoshi-Murato, candoshi-shapra",,1900.0,-3.7107,-76.9042,,
949,Hupda (Brazil),Brazil,BRA,jup,Vulnerable,"Hupda, Hupdë (Hup is singular)",,1900.0,0.7909,-68.247,,
950,Kendeje,Chad,TCD,klf,Definitely endangered,,,1859.0,13.6299,21.5771,,
